,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.var_absolute_values,method.filter_mode
2024-10-25 10:42:40.9283,0.3979208932127809,0.6661530559835644,0.03189213017405065,0.7642526964560863,0.6653826399589111,0.7481871942008481,0.5077677841373671,0.06159601601721682,0.6703903441191578,0.5014431402732346,0.5647315683043583,0.5802088683444615,0.5,0 days 00:04:14.705689,15min,True,root_cause_3,5,False,None
2024-10-25 10:41:08.8896,0.3606150128433817,0.6658962506420133,0.03543133217058801,0.7598870056497175,0.6653826399589111,0.5455425031982852,0.5050051072522983,0.06529350942709539,0.665885244698804,0.5014431402732346,0.5553893532515439,0.5665553843519946,0.5,0 days 00:03:19.115027,15min,True,root_cause_3,3,True,None
2024-10-25 11:07:35.8841,1.6010668748737928,0.6661530559835644,0.3902186452841213,0.7909604519774011,0.6653826399589111,3.0642749827909634,0.5113559703170677,0.5214041624067943,0.6949849585442807,0.5014431402732346,0.5971402277142704,0.6272684471837014,0.5,0 days 00:00:19.047706,24H,True,root_cause_3,3,True,None
2024-10-25 11:08:06.3898,1.4726096033280884,0.6669234720082178,0.3332379452857007,0.7914740626605035,0.6653826399589111,0.06221892384066863,0.511007025761124,0.4487460919684163,0.6953738352043437,0.5014431402732346,0.6004642079718063,0.6289804827940422,0.5,0 days 00:00:19.202986,24H,True,root_cause_3,3,False,None
2024-10-25 10:42:25.0492,0.05293239331249151,0.6841294298921418,0.06348344431649572,0.8102208525937339,0.6653826399589111,6.901049544358081,0.5739447312481021,0.31260886143020583,0.7406999779881136,0.5014431402732346,0.7009235286085342,0.7081407293271701,0.5,0 days 00:03:45.175532,15min,False,root_cause_3,3,True,None
2024-10-25 10:58:35.3759,0.29063788144057456,0.7532100667693888,0.30108783667565786,0.8492552645095017,0.6653826399589111,0.20968932371874174,0.6603454114459871,2.121364266973877,0.7940457847237509,0.5014431402732346,0.7750809890662909,0.7870869714090053,0.5,0 days 00:00:18.154020,6H,False,root_cause_3,3,True,None
2024-10-25 11:09:06.1535,1.6780099394715133,0.6661530559835644,0.3695440217624419,0.7827426810477658,0.6653826399589111,0.06431509297037813,0.5070485567240994,0.4860872546180775,0.6818328564091276,0.5014431402732346,0.5845705942969835,0.6029147406266051,0.5,0 days 00:00:19.093156,24H,True,root_cause_3,5,False,None
2024-10-25 11:09:36.0417,0.583208256072138,0.7128916281458655,0.6459229019649537,0.8210066769388802,0.6653826399589111,0.20503833439418845,0.6290887850467289,5.459979084983711,0.76061706654927,0.5014431402732346,0.7391273826128759,0.7393425783256291,0.5,0 days 00:00:19.126106,24H,False,root_cause_3,3,True,None
2024-10-25 10:55:13.1998,0.18884862712264056,0.7221366204417052,0.17274978713208686,0.8335901386748844,0.6653826399589111,20.38146013415072,0.606006006006006,0.9034449756583031,0.7688751926040062,0.5014431402732346,0.7377032427912549,0.7560349255264509,0.5,0 days 00:01:23.609879,1H,False,root_cause_3,5,True,None
2024-10-25 11:04:07.7346,0.3351319759069488,0.734206471494607,1.0480765657529751,0.8382126348228043,0.6653826399589111,0.175387995642457,0.6489984591679506,3.211427859052413,0.7782265756842028,0.5014431402732346,0.7593730941244456,0.7645523026878961,0.5,0 days 00:00:21.006099,12H,False,root_cause_3,3,False,None
