,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture,data_path,data_preprocess.subset_year,data_preprocess.subset_month
2024-11-22 17:14:24.8351,23.8,0.8062879850397382,14.11132679169374,0.8528985507246376,0.7998129967274428,0.4484504097566575,0.5350103734439834,14.090832708252249,0.6066600730531099,0.3335930196322842,0.7107576924687702,0.7225657920367773,0.5,0 days 01:14:16.372147,12H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-22 18:13:53.3212,27.92,0.8045582047685834,20.55190096793209,0.8507947639083684,0.7998129967274428,0.32454733122937884,0.5213802493298728,37.08019718113591,0.5953448249752186,0.3335930196322842,0.6854317386033525,0.6926726858345021,0.5,0 days 01:32:14.848614,24H,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-25 22:34:07.9259,0.11,0.8209677419354838,0.3810705937353903,0.8424029920523609,0.7998129967274428,27.977198021540126,0.44463831334060333,0.6702012109182582,0.4837359435536153,0.3335930196322842,0.5427942692177192,0.5452803101137603,0.5,0 days 00:05:29.419897,1H,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-22 13:26:24.0593,55.72,0.7998129967274428,3.786230613323187,0.8310425432445068,0.7998129967274428,37.87727885050183,0.4610224184782609,2.3044003911986843,0.5514933289415592,0.3335930196322842,0.6245541723994947,0.6327149563659029,0.5,0 days 00:11:11.538937,1H,False,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-26 00:39:02.4068,3.71,0.8164095371669005,6.95019167835437,0.8568256194483403,0.7998129967274428,546.4853827383014,0.5448519912374318,19.151884132097624,0.5808678231539381,0.3335930196322842,0.6705958704172094,0.6663436964313543,0.5,0 days 00:59:43.633980,6H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-22 15:13:57.7514,1.68,0.7998129967274428,0.451327580417194,0.8140953716690041,0.7998129967274428,1.253282127387382,0.3335930196322842,0.3834980461951367,0.4236563827987794,0.3335930196322842,0.4908600478843803,0.4755150868786037,0.5,0 days 01:00:20.634150,6H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-25 22:28:32.3524,2.15,0.7998129967274428,0.12205703599813,0.8313230481533427,0.7998129967274428,0.3344094473509363,0.3379186602870814,0.1303413103878434,0.4271622992108101,0.3335930196322842,0.48206716074280204,0.4832212774661057,0.5,0 days 00:04:31.648235,1H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-22 13:06:14.8747,14.41,0.7998129967274428,3.834021207740007,0.8025946704067322,0.7998129967274428,0.7842278934401605,0.3335930196322842,0.21348041386442126,0.3579265449971057,0.3335930196322842,0.3021546285285764,0.3108759447561166,0.5,0 days 01:56:01.466899,15min,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-22 18:16:53.0041,28.71,0.8027816736792894,26.072101637405297,0.8496259934548854,0.7998129967274428,0.3633694884643873,0.5213175885643256,39.49345671344539,0.6029338149253999,0.3335930196322842,0.7001650953466818,0.7068297588436964,0.5,0 days 01:31:06.083571,24H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-22 13:50:30.1516,2.46,0.7998129967274428,0.34606433301172224,0.8054464703132305,0.7998129967274428,0.6005967151976008,0.3335930196322842,0.09227979268691054,0.3713893119062099,0.3335930196322842,0.3945718091385692,0.3992838359046284,0.5,0 days 01:31:04.223118,1H,True,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
