,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.var_absolute_values,method.filter_mode,data_path,data_preprocess.subset_year,data_preprocess.subset_month
2024-11-21 15:06:28.4345,1.0,0.7998129967274428,0.9995324918186068,0.7998129967274427,0.7998129967274428,True,0.3518217526750644,0.4885460495558672,0.3963292901581822,0.3335930196322842,0.5728129477079809,0.5728475144148355,0.5,0 days 00:21:28.265515,6H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 15:07:03.5510,1.0,0.7998129967274428,0.9985974754558204,0.7998129967274427,0.7998129967274428,True,0.4974560748931551,0.8807854137447405,0.5046274747537021,0.3335930196322842,0.7296111417128888,0.7297520258687861,0.5,0 days 00:29:57.834025,15min,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 15:09:31.4293,0,0.7998129967274428,0.0,0.7998129967274427,0.7998129967274428,False,0.3335930196322842,0.0,0.3335826710300764,0.3335930196322842,0.5,0.5,0.5,0 days 00:16:17.240289,24H,False,random_5,50,False,corr,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 15:24:12.6264,1.0,0.7998129967274428,0.8887330528284245,0.8021739130434782,0.7998129967274428,True,0.5698210791165782,0.9939223936418887,0.5724857034814959,0.3335930196322842,0.8021235630071977,0.8022011843540595,0.5,0 days 01:10:13.241108,1H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 15:05:20.8935,1.0,0.7998129967274428,1.0,0.7998129967274427,0.7998129967274428,False,0.3335930196322842,0.36699392239364187,0.37435440773449186,0.3335930196322842,0.5270992907437401,0.5271154745208041,0.5,0 days 00:20:15.082259,12H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 14:39:27.3509,1.0,0.7998129967274428,0.6175783076203833,0.8198457223001403,0.7998129967274428,True,0.4913980884641032,0.8045815801776531,0.5176365735973029,0.3335930196322842,0.6998799532426193,0.6999240299205235,0.5,0 days 00:25:27.833629,24H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 14:54:55.2308,1.0,0.7998129967274428,0.4067321178120617,0.8207106124357176,0.7998129967274428,True,0.4547794547794548,0.6517064048620851,0.4884132178662333,0.3335930196322842,0.6590899715377987,0.659225494779492,0.5,0 days 00:19:42.213605,12H,False,random_5,50,False,corr,resources/rivers_flood.csv,False,[]
2024-11-21 14:52:09.2266,0,0.7998129967274428,0.0,0.7998129967274427,0.7998129967274428,False,0.3335930196322842,0.0,0.3335826710300764,0.3335930196322842,0.5,0.5,0.5,0 days 00:15:52.369498,24H,False,random_5,50,False,none,resources/rivers_flood.csv,False,[]
2024-11-21 18:20:31.5425,1.0,0.7998129967274428,0.9971949509116409,0.7998129967274427,0.7998129967274428,True,0.5562869198312236,1.0,0.5566035958742831,0.3335930196322842,0.7937297362569655,0.7938113604488078,0.5,0 days 04:06:34.339292,15min,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 14:45:47.8799,1.0,0.7998129967274428,0.5792426367461431,0.8231884057971014,0.7998129967274428,True,0.5987908876166073,0.9663394109396914,0.6108076251835017,0.3335930196322842,0.8060274783153583,0.8062392862708431,0.5,0 days 00:31:48.714636,12H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,False,[]
